libelle_unite;type_materiel;code_unite_terminal_de_saisie
BP de Poligny;Scanner;04088
BTA de Champagnole;Scanner;04082
BP de Saint-Claude;Bloc optique;04103
BP de Dole;Bloc optique;04093
CIC BDRIJ GGD40;Scanner;19738
BP de Tarnos;Scanner;01579
BTA de Mimizan;Scanner;01589
BP de Capbreton;Bloc optique;01567
BP de Biscarrosse;Bloc optique;01583
BTA de Dax;Bloc optique;01566
BP de Soustons;Bloc optique;01578
CIC BDRIJ GGD41;Scanner;20860
BP de Lamotte-Beuvron;Scanner;05554
BP de Veuzain-sur-Loire;Scanner;05548
BP de Montrichard-Val-de-Cher;Bloc optique;05546
BTA  de Romorantin-Lanthenay;Bloc optique;60052
BTA de Mer;Bloc optique;05545
PMO de Salbris;Bloc optique;29227
CIC BDRIJ GGD42;Scanner;20129
BTA d'Andrézieux-Bouthéon;Scanner;02828
BP de Roanne;Scanner;02850
BTA  de Montbrison;Bloc optique;02827
CIC BDRIJ GGD43;Scanner;20231
BP d'Yssingeaux;Scanner;03168
BP de Bas-Monistrol;Scanner;03169
BP de Brioude;Bloc optique;03156
CIC BDRIJ GGD44;Scanner;19619
BP de Pontchateau;Scanner;01171
BP de Blain;Scanner;01141
BP d'Ancenis-Saint-Géréon;Bloc optique;01132
BP de Châteaubriant;Bloc optique;01140
BP de Clisson;Bloc optique;01121
BP de Guérande;Bloc optique;01168
BTA de Carquefou;Bloc optique;01120
BTA de Couëron;Bloc optique;01165
BTA de La-Chapelle-sur-Erdre;Bloc optique;02784
BTA de Sainte-Luce-sur-Loire;Bloc optique;01117
BP de Pornic;Bloc optique;01155
BP de Saint-Brevin-les-Pins;Bloc optique;01156
BTA de Vertou;Bloc optique;01129
BP du Loroux-Bottereau;Bloc optique;01133
BP du Pellerin;Bloc optique;01154
BTA de Montoir-de-Bretagne;Bloc optique;01170
BTA de Bouguenais;Bloc optique;05600
CIC BDRIJ GGD45;Scanner;20775
BP de Briare;Scanner;05333
BP de Château-Renard;Scanner;05343
BTA  de Gien;Bloc optique;05331
BTA  de Pithiviers;Bloc optique;05352
PMO de Pannes;Bloc optique;12867
BP de Meung-sur-Loire;Bloc optique;05325
BTA de Sully-sur-Loire;Bloc optique;05337
CIC BDRIJ GGD46;Scanner;19976
BP de Puy-l'évèque;Scanner;02298
BP de Gourdon;Scanner;02313
BTA de Figeac;Bloc optique;02303
CIC BDRIJ GGD47;Scanner;19755
BP de Fumel;Scanner;01646
BP de Laplume;Scanner;01610
BP de Tonneins;Bloc optique;01630
BTA de Marmande;Bloc optique;01619
CIC BDRIJ GGD48;Scanner;20707
BP de Marvejols;Scanner;04807
CIC BDRIJ GGD49;Scanner;19636
